"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"FLORES, Danilo Adrián","Justicialista","La Rioja","AUSENTE"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"FRANA, Silvina Patricia","Frente para la Victoria - PJ","Santa Fe","AUSENTE"
"FRANCO, Jorge Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"FREGONESE, Alicia","PRO","Entre Ríos","AFIRMATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","AFIRMATIVO"
"FURLAN, Francisco Abel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GARCIA, Alejandro","PRO","C.A.B.A.","AUSENTE"
"GARRÉ, Nilda Celia","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"GARRETÓN, Facundo","PRO","Tucumán","AFIRMATIVO"
"GAYOL, Yanina Celeste","PRO","Entre Ríos","AFIRMATIVO"
"GINOCCHIO, Silvana Micaela","Elijo Catamarca","Catamarca","AFIRMATIVO"
"GIOJA, José Luis","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"GOICOECHEA, Horacio","Unión Cívica Radical","Chaco","AFIRMATIVO"
"GONZÁLEZ SELIGRA, Nathalia","PTS - Frente de Izquierda","Buenos Aires","AUSENTE"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","AUSENTE"
"GONZÁLEZ, Josefina Victoria","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"GRANA, Adrián Eduardo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GRANDE, Martín","PRO","Salta","AFIRMATIVO"
"GRANDINETTI, Alejandro Ariel","Federal Unidos por una Nueva Argentina","Santa Fe","AUSENTE"
"GROSSO, Leonardo","Peronismo para la Victoria","Buenos Aires","AFIRMATIVO"
"GUERIN, María Isabel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"HERNÁNDEZ, Martín Osvaldo","Unión Cívica Radical","Formosa","AFIRMATIVO"
"HERRERA, Luis Beder","Justicialista","La Rioja","AUSENTE"
"HERS CABRAL, Anabella Ruth","PRO","C.A.B.A.","AFIRMATIVO"
"HORNE, Silvia Renee","Peronismo para la Victoria","Rio Negro","AFIRMATIVO"
"HUCZAK, Stella Maris","PRO","Mendoza","AFIRMATIVO"
"HUMMEL, Astrid","PRO","Santa Fe","AFIRMATIVO"
"HUSS, Juan  Manuel","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"IGLESIAS, Fernando Adolfo","PRO","C.A.B.A.","AFIRMATIVO"
"IGON, Santiago Nicolás","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"INCICCO, Lucas Ciriaco","PRO","Santa Fe","AFIRMATIVO"
"INFANTE, Hugo Orlando","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"KICILLOF, Axel","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"KIRCHNER, Máximo Carlos","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"KOSINER, Pablo Francisco Juan","Justicialista","Salta","AFIRMATIVO"
"KRONEBERGER, Daniel Ricardo","Unión Cívica Radical","La Pampa","AFIRMATIVO"
"LACOSTE, Jorge Enrique","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"LARROQUE, Andrés","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
"LASPINA, Luciano Andrés","PRO","Santa Fe","AFIRMATIVO"
"LAVAGNA, Marco","Federal Unidos por una Nueva Argentina","C.A.B.A.","AFIRMATIVO"
"LEAVY, Sergio Napoleón","Frente para la Victoria - PJ","Salta","AFIRMATIVO"
"LEHMANN, María Lucila","Coalición Cívica","Santa Fe","AFIRMATIVO"
"LIPOVETZKY, Daniel Andrés","PRO","Buenos Aires","AFIRMATIVO"
"LLANOS MASSA, Ana María","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"LLARYORA, Martín Miguel","Córdoba Federal","Córdoba","AFIRMATIVO"
"LÓPEZ KOENIG, Leandro Gastón","PRO","Neuquén","AFIRMATIVO"
"LÓPEZ, Juan Manuel","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"LOSPENNATO, Silvia Gabriela","PRO","Buenos Aires","AFIRMATIVO"
"LOTTO, Inés Beatriz","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"LOUSTEAU, Martín","Evolución Radical","C.A.B.A.","AUSENTE"
"MACHA, Mónica","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MACÍAS, Oscar Alberto","Justicialista","Corrientes","AFIRMATIVO"
"MAQUIEYRA, Martín","PRO","La Pampa","AFIRMATIVO"
"MARCUCCI, Hugo María","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"MARTIARENA, José Luis","Justicialista","Jujuy","AUSENTE"
"MARTÍNEZ VILLADA, Leonor María","Coalición Cívica","Córdoba","AFIRMATIVO"
"MARTÍNEZ, Darío","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"MARTÍNEZ, Silvia Alejandra","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"MASIN, María Lucila","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"MASSETANI, Vanesa Laura","Federal Unidos por una Nueva Argentina","Santa Fe","AFIRMATIVO"
"MASSOT, Nicolás María","PRO","Córdoba","AFIRMATIVO"
"MATZEN, Lorena","Unión Cívica Radical","Rio Negro","AFIRMATIVO"
"MEDINA, Gladys","Justicialista por Tucumán","Tucumán","AUSENTE"
"MEDINA, Martín Nicolás","PRO","Buenos Aires","AFIRMATIVO"
"MENDOZA, Josefina","Unión Cívica Radical","Buenos Aires","AUSENTE"
"MENDOZA, Mayra Soledad","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MENNA, Gustavo","Unión Cívica Radical","Chubut","AFIRMATIVO"
"MERCADO, Verónica Elizabeth","Frente para la Victoria - PJ","Catamarca","AFIRMATIVO"
"MESTRE, Diego Matías","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"MIRANDA, Pedro Rubén","Justicialista","Mendoza","AFIRMATIVO"
"MOISÉS, María Carolina","Justicialista","Jujuy","AFIRMATIVO"
"MOLINA, Karina Alejandra","PRO","La Rioja","AFIRMATIVO"
"MONALDI, Osmar","PRO","Jujuy","AFIRMATIVO"
"MONFORT, Marcelo Alejandro","Unión Cívica Radical","Entre Ríos","AUSENTE"
"MONTENEGRO, Guillermo Tristán","PRO","Buenos Aires","AFIRMATIVO"
"MONZÓ, Emilio","PRO","Buenos Aires","PRESIDENTE"
"MORALES, Flavia","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"MORALES, Mariana Elizabet","Federal Unidos por una Nueva Argentina","Santiago del Estero","AFIRMATIVO"
"MOREAU, Cecilia","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"MOREAU, Leopoldo Raúl Guido","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"MOSQUEDA, Juan","Justicialista","Chaco","AUSENTE"
"MOYANO, Juan Facundo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"MUÑOZ, Rosa Rosario","Trabajo y Dignidad","Chubut","AFIRMATIVO"
"NAJUL, Claudia Inés","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"NANNI, Miguel","Unión Cívica Radical","Salta","AFIRMATIVO"
"NAVARRO, Graciela","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"NAZARIO, Adriana Mónica","Córdoba Trabajo y Producción","Córdoba","AUSENTE"
"NEDER, Estela Mary","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"NEGRI, Mario Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"NUÑEZ, José Carlos","PRO","Santa Fe","AFIRMATIVO"
"OCAÑA, Maria Graciela","PRO","Buenos Aires","AFIRMATIVO"
"OLIVARES, Héctor Enrique","Unión Cívica Radical","La Rioja","AFIRMATIVO"
"OLIVETO LAGO, Paula Mariana","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"OLMEDO, Alfredo Horacio","Salta Somos Todos","Salta","AFIRMATIVO"
"ORELLANA, José Fernando","Justicialista por Tucumán","Tucumán","AFIRMATIVO"
"PASSO, Marcela Fabiana","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"PASTORI, Luis Mario","Unión Cívica Radical","Misiones","AFIRMATIVO"
"PASTORIZA, Mirta Ameliana","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"PEREYRA, Juan Manuel","Concertación FORJA","Córdoba","AFIRMATIVO"
"PÉREZ, Martín Alejandro","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"PÉREZ, Raúl Joaquín","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"PERTILE, Elda","Justicialista","Chaco","AFIRMATIVO"
"PETRI, Luis Alfonso","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"PEÑALOZA MARIANETTI, María Florencia","Somos San Juan","San Juan","AUSENTE"
"PICCOLOMINI, María Carla","PRO","Buenos Aires","AFIRMATIVO"
"PIETRAGALLA CORTI, Horacio","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"PITIOT, Carla Betina","Federal Unidos por una Nueva Argentina","C.A.B.A.","AFIRMATIVO"
"POLLEDO, Carmen","PRO","C.A.B.A.","AFIRMATIVO"
"PRETTO, Pedro Javier","PRO","Córdoba","AFIRMATIVO"
"QUETGLAS, Fabio José","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"RACH QUIROGA, Analía Alexandra","Frente para la Victoria - PJ","Chaco","AUSENTE"
"RAMÓN, José Luis","Partido Intransigente de Mendoza","Mendoza","AFIRMATIVO"
"RAMOS, Alejandro Ariel","Primero Argentina","Santa Fe","AUSENTE"
"RAUSCHENBERGER, Ariel","Justicialista","La Pampa","AFIRMATIVO"
"RAVERTA, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"REGIDOR BELLEDONE, Estela Mercedes","Unión Cívica Radical","Corrientes","AFIRMATIVO"
"REYES, Roxana Nahir","Unión Cívica Radical","Santa Cruz","AFIRMATIVO"
"RICCARDO, José Luis","Unión Cívica Radical","San Luis","AFIRMATIVO"
"RICCI, Nadia Lorena","Unión Cívica Radical","Santa Cruz","AFIRMATIVO"
"RISTA, Olga María","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"ROBERTI, Alberto Oscar","Justicialista","Buenos Aires","AUSENTE"
"RODENAS, Alejandra","Nuevo Espacio Santafesino","Santa Fe","AUSENTE"
"RODRIGUEZ, Matías David","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"RODRIGUEZ, Rodrigo Martín","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ROMA, Carlos Gastón","PRO","Tierra del Fuego","AFIRMATIVO"
"ROMERO, Jorge Antonio","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"ROSSI, Agustín","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"ROSSO, Victoria","Unidad Justicialista","San Luis","AFIRMATIVO"
"RUIZ ARAGÓN, José Arnaldo","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"RUSSO, Laura","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SAADI, Gustavo Arturo","Elijo Catamarca","Catamarca","AFIRMATIVO"
"SAHAD, Julio Enrique","PRO","La Rioja","AFIRMATIVO"
"SALVAREZZA, Roberto","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SANTILLÁN, Walter Marcelo","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"SAPAG, Alma Liliana","Movimiento Popular Neuquino","Neuquén","AFIRMATIVO"
"SCAGLIA, Gisela","PRO","Santa Fe","AFIRMATIVO"
"SCHLERETH, David Pablo","PRO","Neuquén","AFIRMATIVO"
"SCHMIDT LIERMANN, Cornelia","PRO","C.A.B.A.","AFIRMATIVO"
"SCIOLI, Daniel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"SELVA, Carlos Américo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"SIERRA, Magdalena","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SILEY, Vanesa","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SNOPEK, Alejandro","Federal Unidos por una Nueva Argentina","Jujuy","AFIRMATIVO"
"SOLÁ, Felipe Carlos","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"SOLANAS, Julio Rodolfo","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"SORAIRE, Mirta Alicia","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"SORIA, María Emilia","Frente para la Victoria - PJ","Rio Negro","AUSENTE"
"STEFANI, Héctor Antonio","PRO","Tierra del Fuego","AFIRMATIVO"
"SUAREZ LASTRA, Facundo","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"TABOADA, Jorge","Cultura, Educación y Trabajo","Chubut","AFIRMATIVO"
"TAILHADE, Luis Rodolfo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"TERADA, Alicia","Coalición Cívica","Chaco","AFIRMATIVO"
"TONELLI, Pablo Gabriel","PRO","C.A.B.A.","AFIRMATIVO"
"TORELLO, Pablo","PRO","Buenos Aires","AFIRMATIVO"
"TUNDIS, Mirta","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"URROZ, Paula","PRO","Buenos Aires","AFIRMATIVO"
"VALLEJOS, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"VALLONE, Andres Alberto","Unidad Justicialista","San Luis","AUSENTE"
"VAZQUEZ, Juan Benedicto","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"VERA GONZALEZ, Orieta Cecilia","Coalición Cívica","Catamarca","AFIRMATIVO"
"VIGO, Alejandra María","Córdoba Federal","Córdoba","AFIRMATIVO"
"VILLA, Natalia Soledad","PRO","Buenos Aires","AFIRMATIVO"
"VILLALONGA, Juan Carlos","PRO","C.A.B.A.","AFIRMATIVO"
"VILLAVICENCIO, María Teresita","Evolución Radical","Tucumán","AFIRMATIVO"
"VOLNOVICH, Luana","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"WECHSLER, Marcelo Germán","PRO","C.A.B.A.","AFIRMATIVO"
"WELLBACH, Ricardo","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"WISKY, Sergio Javier","PRO","Rio Negro","AFIRMATIVO"
"WOLFF, Waldo Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"YASKY, Hugo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"YEDLIN, Pablo Raúl","Justicialista por Tucumán","Tucumán","AFIRMATIVO"
"ZAMARBIDE, Federico Raúl","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"ZAMORA, Claudia","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"ZILIOTTO, Sergio Raúl","Justicialista","La Pampa","AFIRMATIVO"
"ZOTTOS, Miguel Andrés Costas","Justicialista","Salta","AFIRMATIVO"
