"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ECHEGARAY, Alejandro Carlos Augusto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","AFIRMATIVO"
"ESPINOZA, Fernando","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"ESTEVEZ, Gabriela Beatriz","Frente para la Victoria - PJ","Córdoba","NEGATIVO"
"FELIX, Omar","Somos Mendoza","Mendoza","AFIRMATIVO"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente para la Victoria - PJ","Formosa","AUSENTE"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"FERREYRA, Araceli Susana Del Rosario","Peronismo para la Victoria","Corrientes","AFIRMATIVO"
"FILMUS, Daniel","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"FLORES, Danilo Adrián","Justicialista","La Rioja","AUSENTE"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"FRANA, Silvina Patricia","Frente para la Victoria - PJ","Santa Fe","AUSENTE"
"FRANCO, Jorge Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"FREGONESE, Alicia","PRO","Entre Ríos","AFIRMATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","AFIRMATIVO"
"FURLAN, Francisco Abel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"GARCIA, Alejandro","PRO","C.A.B.A.","AFIRMATIVO"
"GARRÉ, Nilda Celia","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"GARRETÓN, Facundo","PRO","Tucumán","AFIRMATIVO"
"GAYOL, Yanina Celeste","PRO","Entre Ríos","AFIRMATIVO"
"GINOCCHIO, Silvana Micaela","Elijo Catamarca","Catamarca","AFIRMATIVO"
"GIOJA, José Luis","Frente para la Victoria - PJ","San Juan","AUSENTE"
"GOICOECHEA, Horacio","Unión Cívica Radical","Chaco","AFIRMATIVO"
"GONZÁLEZ SELIGRA, Nathalia","PTS - Frente de Izquierda","Buenos Aires","AUSENTE"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","AFIRMATIVO"
"GONZÁLEZ, Josefina Victoria","Frente para la Victoria - PJ","Santa Fe","NEGATIVO"
"GRANA, Adrián Eduardo","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"GRANDE, Martín","PRO","Salta","AUSENTE"
"GRANDINETTI, Alejandro Ariel","Federal Unidos por una Nueva Argentina","Santa Fe","AFIRMATIVO"
"GROSSO, Leonardo","Peronismo para la Victoria","Buenos Aires","AFIRMATIVO"
"GUERIN, María Isabel","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"HERNÁNDEZ, Martín Osvaldo","Unión Cívica Radical","Formosa","AFIRMATIVO"
"HERRERA, Luis Beder","Justicialista","La Rioja","AUSENTE"
"HERS CABRAL, Anabella Ruth","PRO","C.A.B.A.","AUSENTE"
"HORNE, Silvia Renee","Peronismo para la Victoria","Rio Negro","AFIRMATIVO"
"HUCZAK, Stella Maris","PRO","Mendoza","AFIRMATIVO"
"HUMMEL, Astrid","PRO","Santa Fe","AFIRMATIVO"
"HUSS, Juan  Manuel","Frente para la Victoria - PJ","Entre Ríos","NEGATIVO"
"IGLESIAS, Fernando Adolfo","PRO","C.A.B.A.","AFIRMATIVO"
"IGON, Santiago Nicolás","Frente para la Victoria - PJ","Chubut","NEGATIVO"
"INCICCO, Lucas Ciriaco","PRO","Santa Fe","AFIRMATIVO"
"INFANTE, Hugo Orlando","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"KICILLOF, Axel","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
"KIRCHNER, Máximo Carlos","Frente para la Victoria - PJ","Santa Cruz","NEGATIVO"
"KOSINER, Pablo Francisco Juan","Justicialista","Salta","AFIRMATIVO"
"KRONEBERGER, Daniel Ricardo","Unión Cívica Radical","La Pampa","AFIRMATIVO"
"LACOSTE, Jorge Enrique","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"LARROQUE, Andrés","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"LASPINA, Luciano Andrés","PRO","Santa Fe","AUSENTE"
"LAVAGNA, Marco","Federal Unidos por una Nueva Argentina","C.A.B.A.","AFIRMATIVO"
"LEAVY, Sergio Napoleón","Frente para la Victoria - PJ","Salta","AUSENTE"
"LEHMANN, María Lucila","Coalición Cívica","Santa Fe","AFIRMATIVO"
"LIPOVETZKY, Daniel Andrés","PRO","Buenos Aires","AFIRMATIVO"
"LLANOS MASSA, Ana María","Frente para la Victoria - PJ","Chubut","AUSENTE"
"LLARYORA, Martín Miguel","Córdoba Federal","Córdoba","AUSENTE"
"LÓPEZ KOENIG, Leandro Gastón","PRO","Neuquén","AFIRMATIVO"
"LÓPEZ, Juan Manuel","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"LOSPENNATO, Silvia Gabriela","PRO","Buenos Aires","AFIRMATIVO"
"LOTTO, Inés Beatriz","Frente para la Victoria - PJ","Formosa","NEGATIVO"
"LOUSTEAU, Martín","Evolución Radical","C.A.B.A.","AUSENTE"
"MACHA, Mónica","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"MACÍAS, Oscar Alberto","Justicialista","Corrientes","AFIRMATIVO"
"MAQUIEYRA, Martín","PRO","La Pampa","AFIRMATIVO"
"MARCUCCI, Hugo María","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"MARTIARENA, José Luis","Justicialista","Jujuy","AFIRMATIVO"
"MARTÍNEZ VILLADA, Leonor María","Coalición Cívica","Córdoba","AFIRMATIVO"
"MARTÍNEZ, Darío","Frente para la Victoria - PJ","Neuquén","AUSENTE"
"MARTÍNEZ, Silvia Alejandra","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"MASIN, María Lucila","Frente para la Victoria - PJ","Chaco","NEGATIVO"
"MASSETANI, Vanesa Laura","Federal Unidos por una Nueva Argentina","Santa Fe","AUSENTE"
"MASSOT, Nicolás María","PRO","Córdoba","AFIRMATIVO"
"MATZEN, Lorena","Unión Cívica Radical","Rio Negro","AFIRMATIVO"
"MEDINA, Gladys","Justicialista por Tucumán","Tucumán","AUSENTE"
"MEDINA, Martín Nicolás","PRO","Buenos Aires","AFIRMATIVO"
"MENDOZA, Josefina","Unión Cívica Radical","Buenos Aires","AUSENTE"
"MENDOZA, Mayra Soledad","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"MENNA, Gustavo","Unión Cívica Radical","Chubut","AFIRMATIVO"
"MERCADO, Verónica Elizabeth","Frente para la Victoria - PJ","Catamarca","NEGATIVO"
"MESTRE, Diego Matías","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"MIRANDA, Pedro Rubén","Justicialista","Mendoza","AUSENTE"
"MOISÉS, María Carolina","Justicialista","Jujuy","AFIRMATIVO"
"MOLINA, Karina Alejandra","PRO","La Rioja","AFIRMATIVO"
"MONALDI, Osmar","PRO","Jujuy","AUSENTE"
"MONFORT, Marcelo Alejandro","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"MONTENEGRO, Guillermo Tristán","PRO","Buenos Aires","AFIRMATIVO"
"MONZÓ, Emilio","PRO","Buenos Aires","PRESIDENTE"
"MORALES, Flavia","Frente de la Concordia Misionero","Misiones","AUSENTE"
"MORALES, Mariana Elizabet","Federal Unidos por una Nueva Argentina","Santiago del Estero","AFIRMATIVO"
"MOREAU, Cecilia","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"MOREAU, Leopoldo Raúl Guido","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"MOSQUEDA, Juan","Justicialista","Chaco","AUSENTE"
"MOYANO, Juan Facundo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"MUÑOZ, Rosa Rosario","Trabajo y Dignidad","Chubut","AFIRMATIVO"
"NAJUL, Claudia Inés","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"NANNI, Miguel","Unión Cívica Radical","Salta","AFIRMATIVO"
"NAVARRO, Graciela","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"NAZARIO, Adriana Mónica","Córdoba Trabajo y Producción","Córdoba","AUSENTE"
"NEDER, Estela Mary","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"NEGRI, Mario Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"NUÑEZ, José Carlos","PRO","Santa Fe","AFIRMATIVO"
"OCAÑA, Maria Graciela","PRO","Buenos Aires","AFIRMATIVO"
"OLIVARES, Héctor Enrique","Unión Cívica Radical","La Rioja","AFIRMATIVO"
"OLIVETO LAGO, Paula Mariana","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"OLMEDO, Alfredo Horacio","Salta Somos Todos","Salta","AUSENTE"
"ORELLANA, José Fernando","Justicialista por Tucumán","Tucumán","AUSENTE"
"PASSO, Marcela Fabiana","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"PASTORI, Luis Mario","Unión Cívica Radical","Misiones","AFIRMATIVO"
"PASTORIZA, Mirta Ameliana","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"PEREYRA, Juan Manuel","Concertación FORJA","Córdoba","NEGATIVO"
"PÉREZ, Martín Alejandro","Frente para la Victoria - PJ","Tierra del Fuego","NEGATIVO"
"PÉREZ, Raúl Joaquín","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"PERTILE, Elda","Justicialista","Chaco","AUSENTE"
"PETRI, Luis Alfonso","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"PEÑALOZA MARIANETTI, María Florencia","Somos San Juan","San Juan","AFIRMATIVO"
"PICCOLOMINI, María Carla","PRO","Buenos Aires","AFIRMATIVO"
"PIETRAGALLA CORTI, Horacio","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"PITIOT, Carla Betina","Federal Unidos por una Nueva Argentina","C.A.B.A.","AUSENTE"
"POLLEDO, Carmen","PRO","C.A.B.A.","AFIRMATIVO"
"PRETTO, Pedro Javier","PRO","Córdoba","AFIRMATIVO"
"QUETGLAS, Fabio José","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"RACH QUIROGA, Analía Alexandra","Frente para la Victoria - PJ","Chaco","NEGATIVO"
"RAMÓN, José Luis","Protectora","Mendoza","AFIRMATIVO"
"RAMOS, Alejandro Ariel","Primero Argentina","Santa Fe","AUSENTE"
"RAUSCHENBERGER, Ariel","Justicialista","La Pampa","AFIRMATIVO"
"RAVERTA, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"REGIDOR BELLEDONE, Estela Mercedes","Unión Cívica Radical","Corrientes","AFIRMATIVO"
"REYES, Roxana Nahir","Unión Cívica Radical","Santa Cruz","AFIRMATIVO"
"RICCARDO, José Luis","Unión Cívica Radical","San Luis","AFIRMATIVO"
"RICCI, Nadia Lorena","Unión Cívica Radical","Santa Cruz","AFIRMATIVO"
"RISTA, Olga María","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"RODENAS, Alejandra","Nuevo Espacio Santafesino","Santa Fe","AUSENTE"
"RODRIGUEZ, Matías David","Frente para la Victoria - PJ","Tierra del Fuego","NEGATIVO"
"RODRIGUEZ, Rodrigo Martín","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"ROMA, Carlos Gastón","PRO","Tierra del Fuego","AFIRMATIVO"
"ROMERO, Jorge Antonio","Frente para la Victoria - PJ","Corrientes","AUSENTE"
"ROSSI, Agustín","Frente para la Victoria - PJ","Santa Fe","NEGATIVO"
"ROSSO, Victoria","Unidad Justicialista","San Luis","AFIRMATIVO"
"RUIZ ARAGÓN, José Arnaldo","Frente para la Victoria - PJ","Corrientes","NEGATIVO"
"RUSSO, Laura","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"SAADI, Gustavo Arturo","Elijo Catamarca","Catamarca","AFIRMATIVO"
"SAHAD, Julio Enrique","PRO","La Rioja","AFIRMATIVO"
"SALVAREZZA, Roberto","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"SANTILLÁN, Walter Marcelo","Frente para la Victoria - PJ","Tucumán","NEGATIVO"
"SAPAG, Alma Liliana","Movimiento Popular Neuquino","Neuquén","AFIRMATIVO"
"SCAGLIA, Gisela","PRO","Santa Fe","AFIRMATIVO"
"SCHLERETH, David Pablo","PRO","Neuquén","AFIRMATIVO"
"SCHMIDT LIERMANN, Cornelia","PRO","C.A.B.A.","AFIRMATIVO"
"SCIOLI, Daniel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"SELVA, Carlos Américo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"SIERRA, Magdalena","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"SILEY, Vanesa","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"SNOPEK, Alejandro","Federal Unidos por una Nueva Argentina","Jujuy","AFIRMATIVO"
"SOLÁ, Felipe Carlos","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"SOLANAS, Julio Rodolfo","Frente para la Victoria - PJ","Entre Ríos","NEGATIVO"
"SORAIRE, Mirta Alicia","Frente para la Victoria - PJ","Tucumán","AUSENTE"
"SORIA, María Emilia","Frente para la Victoria - PJ","Rio Negro","AUSENTE"
"STEFANI, Héctor Antonio","PRO","Tierra del Fuego","AFIRMATIVO"
"SUAREZ LASTRA, Facundo","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"TABOADA, Jorge","Cultura, Educación y Trabajo","Chubut","AUSENTE"
"TAILHADE, Luis Rodolfo","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"TERADA, Alicia","Coalición Cívica","Chaco","AFIRMATIVO"
"TONELLI, Pablo Gabriel","PRO","C.A.B.A.","AFIRMATIVO"
"TORELLO, Pablo","PRO","Buenos Aires","AFIRMATIVO"
"TUNDIS, Mirta","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"URROZ, Paula","PRO","Buenos Aires","AFIRMATIVO"
"VALLEJOS, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"VALLONE, Andres Alberto","Unidad Justicialista","San Luis","AUSENTE"
"VAZQUEZ, Juan Benedicto","Frente para la Victoria - PJ","Santa Cruz","AUSENTE"
"VERA GONZALEZ, Orieta Cecilia","Coalición Cívica","Catamarca","AFIRMATIVO"
"VIGO, Alejandra María","Córdoba Federal","Córdoba","AUSENTE"
"VILLA, Natalia Soledad","PRO","Buenos Aires","AFIRMATIVO"
"VILLALONGA, Juan Carlos","PRO","C.A.B.A.","AFIRMATIVO"
"VILLAVICENCIO, María Teresita","Evolución Radical","Tucumán","AFIRMATIVO"
"VOLNOVICH, Luana","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"WECHSLER, Marcelo Germán","PRO","C.A.B.A.","AFIRMATIVO"
"WELLBACH, Ricardo","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"WISKY, Sergio Javier","PRO","Rio Negro","AFIRMATIVO"
"WOLFF, Waldo Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"YASKY, Hugo","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"YEDLIN, Pablo Raúl","Justicialista por Tucumán","Tucumán","AFIRMATIVO"
"ZAMARBIDE, Federico Raúl","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"ZAMORA, Claudia","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"ZILIOTTO, Sergio Raúl","Justicialista","La Pampa","AUSENTE"
"ZOTTOS, Miguel Andrés Costas","Justicialista","Salta","AUSENTE"
