"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"CORREA, Walter","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"CRESTO, Mayda","Justicialista","Entre Ríos","NEGATIVO"
"DAVID, Javier","Justicialista","Salta","AUSENTE"
"DE MENDIGUREN, José Ignacio","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"DE PEDRO, Eduardo Enrique","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DE PONTI, Lucila María","Peronismo para la Victoria","Santa Fe","AFIRMATIVO"
"DE VIDO, Julio (Suspendido Art 70 C.N.)","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DEL CAÑO, Nicolás","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"Del CERRO, Gonzalo Pedro Antonio","Unión Cívica Radical","Santa Fe","NEGATIVO"
"Del PLÁ, Romina","Fte. de Izquierda y de los Trabajadores","Buenos Aires","AFIRMATIVO"
"DELÚ, Melina Aida","Justicialista","La Pampa","AFIRMATIVO"
"DERNA, Verónica","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DI STÉFANO, Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DINDART, Julián","Unión Cívica Radical","Corrientes","NEGATIVO"
"DONDA PÉREZ, Victoria Analía","Libres del Sur","C.A.B.A.","AUSENTE"
"DOÑATE, Claudio Martín","Frente para la Victoria - PJ","Rio Negro","AUSENTE"
"ECHEGARAY, Alejandro Carlos Augusto","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","NEGATIVO"
"ESPINOZA, Fernando","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ESTEVEZ, Gabriela Beatriz","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"FELIX, Omar","Somos Mendoza","Mendoza","AUSENTE"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","NEGATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"FERREYRA, Araceli Susana Del Rosario","Peronismo para la Victoria","Corrientes","AFIRMATIVO"
"FILMUS, Daniel","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"FLORES, Danilo Adrián","Justicialista","La Rioja","NEGATIVO"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","NEGATIVO"
"FRANA, Silvina Patricia","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"FRANCO, Jorge Daniel","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"FREGONESE, Alicia","PRO","Entre Ríos","NEGATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","NEGATIVO"
"FURLAN, Francisco Abel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"GARCIA, Alejandro","PRO","C.A.B.A.","NEGATIVO"
"GARRÉ, Nilda Celia","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"GARRETÓN, Facundo","PRO","Tucumán","NEGATIVO"
"GAYOL, Yanina Celeste","PRO","Entre Ríos","NEGATIVO"
"GINOCCHIO, Silvana Micaela","Elijo Catamarca","Catamarca","AFIRMATIVO"
"GIOJA, José Luis","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"GOICOECHEA, Horacio","Unión Cívica Radical","Chaco","NEGATIVO"
"GONZÁLEZ SELIGRA, Nathalia","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","NEGATIVO"
"GONZÁLEZ, Josefina Victoria","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"GRANA, Adrián Eduardo","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"GRANDE, Martín","PRO","Salta","AUSENTE"
"GRANDINETTI, Alejandro Ariel","Federal Unidos por una Nueva Argentina","Santa Fe","ABSTENCION"
"GROSSO, Leonardo","Peronismo para la Victoria","Buenos Aires","AFIRMATIVO"
"GUERIN, María Isabel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"HERNÁNDEZ, Martín Osvaldo","Unión Cívica Radical","Formosa","NEGATIVO"
"HERRERA, Luis Beder","Justicialista","La Rioja","AUSENTE"
"HERS CABRAL, Anabella Ruth","PRO","C.A.B.A.","AUSENTE"
"HORNE, Silvia Renee","Peronismo para la Victoria","Rio Negro","AFIRMATIVO"
"HUCZAK, Stella Maris","PRO","Mendoza","NEGATIVO"
"HUMMEL, Astrid","PRO","Santa Fe","NEGATIVO"
"HUSS, Juan  Manuel","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"IGLESIAS, Fernando Adolfo","PRO","C.A.B.A.","NEGATIVO"
"IGON, Santiago Nicolás","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"INCICCO, Lucas Ciriaco","PRO","Santa Fe","NEGATIVO"
"INFANTE, Hugo Orlando","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"KICILLOF, Axel","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"KIRCHNER, Máximo Carlos","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"KOSINER, Pablo Francisco Juan","Justicialista","Salta","NEGATIVO"
"KRONEBERGER, Daniel Ricardo","Unión Cívica Radical","La Pampa","NEGATIVO"
"LACOSTE, Jorge Enrique","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"LARROQUE, Andrés","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"LASPINA, Luciano Andrés","PRO","Santa Fe","AUSENTE"
"LAVAGNA, Marco","Federal Unidos por una Nueva Argentina","C.A.B.A.","ABSTENCION"
"LEAVY, Sergio Napoleón","Frente para la Victoria - PJ","Salta","AUSENTE"
"LEHMANN, María Lucila","Coalición Cívica","Santa Fe","NEGATIVO"
"LIPOVETZKY, Daniel Andrés","PRO","Buenos Aires","NEGATIVO"
"LLANOS MASSA, Ana María","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"LLARYORA, Martín Miguel","Córdoba Federal","Córdoba","NEGATIVO"
"LÓPEZ KOENIG, Leandro Gastón","PRO","Neuquén","NEGATIVO"
"LÓPEZ, Juan Manuel","Coalición Cívica","C.A.B.A.","NEGATIVO"
"LOSPENNATO, Silvia Gabriela","PRO","Buenos Aires","NEGATIVO"
"LOTTO, Inés Beatriz","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"LOUSTEAU, Martín","Evolución Radical","C.A.B.A.","AUSENTE"
"MACHA, Mónica","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MACÍAS, Oscar Alberto","Justicialista","Corrientes","AFIRMATIVO"
"MAQUIEYRA, Martín","PRO","La Pampa","NEGATIVO"
"MARCUCCI, Hugo María","Unión Cívica Radical","Santa Fe","NEGATIVO"
"MARTIARENA, José Luis","Justicialista","Jujuy","AFIRMATIVO"
"MARTÍNEZ VILLADA, Leonor María","Coalición Cívica","Córdoba","NEGATIVO"
"MARTÍNEZ, Darío","Frente para la Victoria - PJ","Neuquén","AUSENTE"
"MARTÍNEZ, Silvia Alejandra","Unión Cívica Radical","Jujuy","NEGATIVO"
"MASIN, María Lucila","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"MASSETANI, Vanesa Laura","Federal Unidos por una Nueva Argentina","Santa Fe","AUSENTE"
"MASSOT, Nicolás María","PRO","Córdoba","NEGATIVO"
"MATZEN, Lorena","Unión Cívica Radical","Rio Negro","NEGATIVO"
"MEDINA, Gladys","Justicialista por Tucumán","Tucumán","AUSENTE"
"MEDINA, Martín Nicolás","PRO","Buenos Aires","NEGATIVO"
"MENDOZA, Josefina","Unión Cívica Radical","Buenos Aires","AUSENTE"
"MENDOZA, Mayra Soledad","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MENNA, Gustavo","Unión Cívica Radical","Chubut","NEGATIVO"
"MERCADO, Verónica Elizabeth","Frente para la Victoria - PJ","Catamarca","AFIRMATIVO"
"MESTRE, Diego Matías","Unión Cívica Radical","Córdoba","NEGATIVO"
"MIRANDA, Pedro Rubén","Justicialista","Mendoza","AFIRMATIVO"
"MOISÉS, María Carolina","Justicialista","Jujuy","ABSTENCION"
"MOLINA, Karina Alejandra","PRO","La Rioja","AUSENTE"
"MONALDI, Osmar","PRO","Jujuy","AUSENTE"
"MONFORT, Marcelo Alejandro","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"MONTENEGRO, Guillermo Tristán","PRO","Buenos Aires","NEGATIVO"
"MONZÓ, Emilio","PRO","Buenos Aires","PRESIDENTE"
"MORALES, Flavia","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"MORALES, Mariana Elizabet","Federal Unidos por una Nueva Argentina","Santiago del Estero","ABSTENCION"
"MOREAU, Cecilia","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"MOREAU, Leopoldo Raúl Guido","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"MOSQUEDA, Juan","Justicialista","Chaco","AUSENTE"
"MOYANO, Juan Facundo","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"MUÑOZ, Rosa Rosario","Trabajo y Dignidad","Chubut","ABSTENCION"
"NAJUL, Claudia Inés","Unión Cívica Radical","Mendoza","NEGATIVO"
"NANNI, Miguel","Unión Cívica Radical","Salta","NEGATIVO"
"NAVARRO, Graciela","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"NAZARIO, Adriana Mónica","Córdoba Trabajo y Producción","Córdoba","AUSENTE"
"NEDER, Estela Mary","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"NEGRI, Mario Raúl","Unión Cívica Radical","Córdoba","AUSENTE"
"NUÑEZ, José Carlos","PRO","Santa Fe","NEGATIVO"
"OCAÑA, Maria Graciela","PRO","Buenos Aires","AUSENTE"
"OLIVARES, Héctor Enrique","Unión Cívica Radical","La Rioja","NEGATIVO"
"OLIVETO LAGO, Paula Mariana","Coalición Cívica","C.A.B.A.","NEGATIVO"
"OLMEDO, Alfredo Horacio","Salta Somos Todos","Salta","AUSENTE"
"ORELLANA, José Fernando","Justicialista por Tucumán","Tucumán","ABSTENCION"
"PASSO, Marcela Fabiana","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"PASTORI, Luis Mario","Unión Cívica Radical","Misiones","NEGATIVO"
"PASTORIZA, Mirta Ameliana","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"PEREYRA, Juan Manuel","Concertación FORJA","Córdoba","AFIRMATIVO"
"PÉREZ, Martín Alejandro","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"PÉREZ, Raúl Joaquín","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"PERTILE, Elda","Justicialista","Chaco","AFIRMATIVO"
"PETRI, Luis Alfonso","Unión Cívica Radical","Mendoza","NEGATIVO"
"PEÑALOZA MARIANETTI, María Florencia","Somos San Juan","San Juan","NEGATIVO"
"PICCOLOMINI, María Carla","PRO","Buenos Aires","NEGATIVO"
"PIETRAGALLA CORTI, Horacio","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"PITIOT, Carla Betina","Federal Unidos por una Nueva Argentina","C.A.B.A.","AUSENTE"
"POLLEDO, Carmen","PRO","C.A.B.A.","NEGATIVO"
"PRETTO, Pedro Javier","PRO","Córdoba","NEGATIVO"
"QUETGLAS, Fabio José","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"RACH QUIROGA, Analía Alexandra","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"RAMÓN, José Luis","Protectora","Mendoza","AFIRMATIVO"
"RAMOS, Alejandro Ariel","Primero Argentina","Santa Fe","AUSENTE"
"RAUSCHENBERGER, Ariel","Justicialista","La Pampa","AFIRMATIVO"
"RAVERTA, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"REGIDOR BELLEDONE, Estela Mercedes","Unión Cívica Radical","Corrientes","NEGATIVO"
"REYES, Roxana Nahir","Unión Cívica Radical","Santa Cruz","NEGATIVO"
"RICCARDO, José Luis","Unión Cívica Radical","San Luis","NEGATIVO"
"RICCI, Nadia Lorena","Unión Cívica Radical","Santa Cruz","AUSENTE"
"RISTA, Olga María","Unión Cívica Radical","Córdoba","NEGATIVO"
"RODENAS, Alejandra","Nuevo Espacio Santafesino","Santa Fe","AFIRMATIVO"
"RODRIGUEZ, Matías David","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"RODRIGUEZ, Rodrigo Martín","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ROMA, Carlos Gastón","PRO","Tierra del Fuego","NEGATIVO"
"ROMERO, Jorge Antonio","Frente para la Victoria - PJ","Corrientes","AUSENTE"
"ROSSI, Agustín","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"ROSSO, Victoria","Unidad Justicialista","San Luis","AFIRMATIVO"
"RUIZ ARAGÓN, José Arnaldo","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"RUSSO, Laura","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"SAADI, Gustavo Arturo","Elijo Catamarca","Catamarca","AUSENTE"
"SAHAD, Julio Enrique","PRO","La Rioja","NEGATIVO"
"SALVAREZZA, Roberto","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SANTILLÁN, Walter Marcelo","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"SAPAG, Alma Liliana","Movimiento Popular Neuquino","Neuquén","AUSENTE"
"SCAGLIA, Gisela","PRO","Santa Fe","NEGATIVO"
"SCHLERETH, David Pablo","PRO","Neuquén","NEGATIVO"
"SCHMIDT LIERMANN, Cornelia","PRO","C.A.B.A.","NEGATIVO"
"SCIOLI, Daniel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"SELVA, Carlos Américo","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"SIERRA, Magdalena","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SILEY, Vanesa","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SNOPEK, Alejandro","Federal Unidos por una Nueva Argentina","Jujuy","ABSTENCION"
"SOLÁ, Felipe Carlos","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"SOLANAS, Julio Rodolfo","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"SORAIRE, Mirta Alicia","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"SORIA, María Emilia","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO"
"STEFANI, Héctor Antonio","PRO","Tierra del Fuego","NEGATIVO"
"SUAREZ LASTRA, Facundo","Unión Cívica Radical","C.A.B.A.","NEGATIVO"
"TABOADA, Jorge","Cultura, Educación y Trabajo","Chubut","AUSENTE"
"TAILHADE, Luis Rodolfo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"TERADA, Alicia","Coalición Cívica","Chaco","NEGATIVO"
"TONELLI, Pablo Gabriel","PRO","C.A.B.A.","NEGATIVO"
"TORELLO, Pablo","PRO","Buenos Aires","NEGATIVO"
"TUNDIS, Mirta","Federal Unidos por una Nueva Argentina","Buenos Aires","ABSTENCION"
"URROZ, Paula","PRO","Buenos Aires","NEGATIVO"
"VALLEJOS, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"VALLONE, Andres Alberto","Unidad Justicialista","San Luis","AFIRMATIVO"
"VAZQUEZ, Juan Benedicto","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"VERA GONZALEZ, Orieta Cecilia","Coalición Cívica","Catamarca","NEGATIVO"
"VIGO, Alejandra María","Córdoba Federal","Córdoba","AUSENTE"
"VILLA, Natalia Soledad","PRO","Buenos Aires","NEGATIVO"
"VILLALONGA, Juan Carlos","PRO","C.A.B.A.","NEGATIVO"
"VILLAVICENCIO, María Teresita","Evolución Radical","Tucumán","NEGATIVO"
"VOLNOVICH, Luana","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"WECHSLER, Marcelo Germán","PRO","C.A.B.A.","NEGATIVO"
"WELLBACH, Ricardo","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"WISKY, Sergio Javier","PRO","Rio Negro","NEGATIVO"
"WOLFF, Waldo Ezequiel","PRO","Buenos Aires","NEGATIVO"
"YASKY, Hugo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"YEDLIN, Pablo Raúl","Justicialista por Tucumán","Tucumán","NEGATIVO"
"ZAMARBIDE, Federico Raúl","Unión Cívica Radical","Mendoza","NEGATIVO"
"ZAMORA, Claudia","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"ZILIOTTO, Sergio Raúl","Justicialista","La Pampa","AFIRMATIVO"
"ZOTTOS, Miguel Andrés Costas","Justicialista","Salta","AUSENTE"
